ov_suc,int,Th,pl3
10,0.46,0.0219563,0.001936032
10,1,0.01768652,0.00162003
20,0.26,0.09141938,0.006760957
20,0.46,0.09403324,0.004953044
20,1,0.09709294,0.004204902
30,0.16,0.1377515,0.017641055
30,0.26,0.1432073,0.012247332
30,0.46,0.147536,0.009708051
30,1,0.1493409,0.008779951
40,0.12,0.1733808,0.025469359
40,0.16,0.1720944,0.023098669
40,0.26,0.1699474,0.018472911
40,0.46,0.1689661,0.01587902
40,1,0.1690542,0.015131242
50,0.1,0.2119461,0.027990976
50,0.16,0.2090084,0.026637424
50,0.26,0.2037784,0.02375874
50,0.46,0.1974514,0.0217997
50,1,0.1913555,0.02132112
60,0.1,0.2491583,0.028801995
60,0.16,0.2518354,0.028422054
60,0.46,0.2602847,0.02593884
60,1,0.2626898,0.0256219
70,0.13,0.2839352,0.029290962
70,0.26,0.2878442,0.028635402
70,0.46,0.2899892,0.028139785
70,1,0.2909406,0.02796953
80,0.2,0.3098152,0.029644821
80,0.46,0.3039191,0.029122963
80,1,0.3027346,0.02904604
90,0.4,0.3433077,0.031067263
90,1,0.3444893,0.030674136
100,1,0.3848506,0.039501531
