ov_suc,int,Th,pl4
10,0.46,0.06668774,0.000386683
10,1,0.06888611,0.000253567
20,0.26,0.104686,0.003501927
20,0.46,0.09898741,0.001361221
20,0.7,0.09495368,0.001024387
20,1,0.09215257,0.000945906
30,0.16,0.1539352,0.02296338
30,0.26,0.1563235,0.008779079
30,0.46,0.1607387,0.003850617
30,0.7,0.1628713,0.003009898
30,1,0.1637917,0.00274583
40,0.12,0.1954483,0.06378485
40,0.16,0.1947088,0.04305717
40,0.26,0.1923518,0.02043915
40,0.46,0.1883331,0.0105346
40,0.7,0.1863182,0.008371802
40,1,0.1855626,0.007790144
50,0.1,0.2351952,0.1007398
50,0.16,0.2353814,0.07092142
50,0.26,0.2369042,0.04353687
50,0.46,0.2399933,0.02682904
50,0.7,0.2419733,0.02208669
50,1,0.2430377,0.0206069
60,0.1,0.2720164,0.1148435
60,0.16,0.2721326,0.09856148
60,0.46,0.2708273,0.05699091
60,0.7,0.270806,0.05005955
60,1,0.2709385,0.04724089
70,0.13,0.3070425,0.1180764
70,0.26,0.3070716,0.1044383
70,0.46,0.3069205,0.09228021
70,0.7,0.3072781,0.0863708
70,1,0.3078117,0.08414376
80,0.2,0.3407762,0.1195204
80,0.46,0.3433091,0.113369
80,0.7,0.3441681,0.1110654
80,1,0.3445527,0.1102849
90,0.4,0.3669702,0.1208819
90,1,0.3624578,0.1198127
100,1,0.4064398,0.1273648
