ov_suc,int,Th
10,0.46,0.06725557
10,1,0.06189229
20,0.26,0.17911283
20,0.46,0.18385408
20,1,0.18637917
30,0.16,0.241774083
30,0.26,0.24949395
30,0.46,0.2534724
30,1,0.25496989
40,0.12,0.280991354
40,0.16,0.285562862
40,0.26,0.290749059
40,0.46,0.29315018
40,1,0.294026748
50,0.1,0.314011165
50,0.16,0.314255842
50,0.26,0.31529399
50,0.46,0.316391637
50,1,0.316903724
60,0.1,0.347564384
60,0.16,0.339974121
60,0.46,0.331030484
60,1,0.330724968
70,0.13,0.381376902
70,0.26,0.370182823
70,0.46,0.363181919
70,1,0.358161339
80,0.2,0.428065901
80,0.46,0.432150664
80,1,0.433667948
90,0.4,0.47441779
90,1,0.475808189
100,1,0.498987579
